product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
lavik,hash,1048576,128,8192,64,HSET,5120,7412.18,614.399,2293.759,2359.295,65127,12.637204940001538,8,0.946,1.3128125
redis,hash,1048576,128,8192,64,HSET,5120,795373.94,5.727,18.431,72.191,6408020,10.590448644998105,8,13.142,140.87248046875
valkey,hash,1048576,128,8192,64,HSET,5120,624568.65,8.159,29.951,60.671,5034473,10.590135457998258,8,10.307,110.620341796875
lavik,hash,1048576,1024,1024,64,HGET,80,446938.18,0.167,0.351,0.431,3575926,9.283106323000538,8,6.488,459.78609375
redis,hash,1048576,1024,1024,64,HGET,80,450826.64,0.175,0.335,0.431,3607137,9.284165906999988,8,6.497,463.786337890625
valkey,hash,1048576,1024,1024,64,HGET,80,551454.54,0.135,0.279,0.423,4411981,9.28249490500093,8,7.798,567.30701171875
lavik,hash,1048576,1024,1024,64,HGET,320,645838.88,0.455,1.207,2.303,5168336,9.333969013001479,8,8.756,664.404306640625
redis,hash,1048576,1024,1024,64,HGET,320,715529.69,0.423,1.015,1.583,5728150,9.335124188000918,8,9.587,736.09845703125
valkey,hash,1048576,1024,1024,64,HGET,320,721804.49,0.407,1.055,2.719,5778888,9.334346570998605,8,9.303,742.5536328125
lavik,hash,1048576,1024,1024,64,HGET,1280,440742.51,0.255,23.807,29.439,3537789,9.58493926400115,8,6.734,453.412138671875
redis,hash,1048576,1024,1024,64,HGET,1280,941306.08,1.159,4.575,10.239,7540178,10.589482513998519,8,11.863,968.36486328125
valkey,hash,1048576,1024,1024,64,HGET,1280,796469.88,1.447,4.383,11.903,6380787,9.636671846001263,8,11.025,819.365380859375
lavik,hash,1048576,1024,1024,64,HGET,2560,391065.5,0.247,52.735,62.975,3148911,9.936541527997178,8,6.372,402.30708984375
redis,hash,1048576,1024,1024,64,HGET,2560,968661.55,2.415,6.431,22.911,7780275,9.939587503999064,8,14.548,996.507265625
valkey,hash,1048576,1024,1024,64,HGET,2560,931406.55,2.351,6.815,24.703,7477247,9.939384299002995,8,13.61,958.1812890625
lavik,hash,1048576,1024,1024,64,HGET,5120,365782.6,0.327,104.959,117.759,2949612,11.639135007000732,8,6.101,376.297412109375
redis,hash,1048576,1024,1024,64,HGET,5120,735263.02,6.463,21.375,69.631,5924720,10.640244006001012,8,12.245,756.3991796875
valkey,hash,1048576,1024,1024,64,HGET,5120,638105.3,8.159,29.439,61.951,5138549,11.641202861999773,8,9.245,656.4484765625
lavik,hash,1048576,1024,1024,64,HGETALL,16,1938.4,2.607,21.503,22.911,15510,9.283683072000713,8,1.774,1983.903896484375
redis,hash,1048576,1024,1024,64,HGETALL,16,3007.71,5.311,7.743,10.623,24063,9.23333767999793,8,2.859,3078.317255859375
valkey,hash,1048576,1024,1024,64,HGETALL,16,1159.32,13.823,21.887,27.007,9291,9.284215936997498,8,1.644,1186.533564453125
lavik,hash,1048576,1024,1024,64,HGETALL,80,2807.05,29.055,69.631,102.911,22485,9.286002004999318,8,4.701,2872.9455078125
redis,hash,1048576,1024,1024,64,HGETALL,80,2770.59,28.415,55.039,60.159,22325,9.283630893998634,8,3.072,2835.635205078125
valkey,hash,1048576,1024,1024,64,HGETALL,80,1234.77,64.767,110.591,258.047,9907,9.285239672997704,8,2.007,1263.761572265625
lavik,hash,1048576,1024,1024,64,HSET,80,6436.42,0.199,99.839,103.935,51593,9.281985122997867,8,0.099,6.645947265625
redis,hash,1048576,1024,1024,64,HSET,80,438748.8,0.175,0.343,0.439,3510108,9.284208998000395,8,6.5,453.03498046875
valkey,hash,1048576,1024,1024,64,HSET,80,532240.31,0.143,0.311,0.415,4258072,9.2836473929965,8,7.483,549.57068359375
lavik,hash,1048576,1024,1024,64,HSET,320,6592.71,1.047,401.407,407.551,54418,9.381036344002496,8,0.14,6.8073828125
redis,hash,1048576,1024,1024,64,HSET,320,711411.72,0.423,1.015,1.639,5693667,9.334928336000303,8,9.916,734.57591796875
valkey,hash,1048576,1024,1024,64,HSET,320,660458.84,0.463,0.991,1.695,5286370,9.335705345998576,8,8.666,681.963955078125
lavik,hash,1048576,1024,1024,64,HSET,1280,6801.92,70.655,1011.711,1089.535,57101,10.633327007999469,8,0.322,7.023369140625
redis,hash,1048576,1024,1024,64,HSET,1280,871496.66,1.239,4.703,11.199,6984067,9.588284692999878,8,12.705,899.87330078125
valkey,hash,1048576,1024,1024,64,HSET,1280,709722.47,1.767,4.159,12.031,5686811,9.637215395003295,8,10.249,732.831611328125
lavik,hash,1048576,1024,1024,64,HSET,2560,7077.81,276.479,1564.671,1589.247,60326,10.984023062999768,8,0.566,7.308271484375
redis,hash,1048576,1024,1024,64,HSET,2560,865984.18,2.623,7.231,24.191,6953814,9.93974980299754,8,13.642,894.18142578125
valkey,hash,1048576,1024,1024,64,HSET,2560,685060.59,3.583,7.231,27.647,5499476,9.937694457999896,8,10.708,707.36693359375
lavik,hash,1048576,1024,1024,64,HSET,5120,7316.75,630.783,2408.447,2523.135,64390,12.687773576999462,8,0.927,7.554990234375
redis,hash,1048576,1024,1024,64,HSET,5120,689744.7,7.167,24.191,69.631,5555030,11.64309283500188,8,10.861,712.20353515625
valkey,hash,1048576,1024,1024,64,HSET,5120,512104.04,9.727,34.559,65.535,4125376,10.588709648996883,8,8.021,528.778603515625
lavik,list,65536,128,512,64,LINDEX,80,501080.83,0.151,0.295,0.359,4009976,9.283466849999968,8,7.221,84.74701171875
redis,list,65536,128,512,64,LINDEX,80,444699.57,0.175,0.343,0.439,3557927,9.283612853003433,8,6.393,75.21126953125
valkey,list,65536,128,512,64,LINDEX,80,557777.59,0.135,0.271,0.407,4462663,9.283573715001694,8,7.796,94.335986328125
lavik,list,65536,128,512,64,LINDEX,320,684683.11,0.455,0.943,1.375,5478724,9.333280535000085,8,8.809,115.799111328125
redis,list,65536,128,512,64,LINDEX,320,719925.62,0.423,0.975,1.495,5762636,9.334327901000506,8,9.599,121.759560546875
valkey,list,65536,128,512,64,LINDEX,320,697467.67,0.431,1.023,2.671,5581409,9.333690966999711,8,8.953,117.961318359375
lavik,list,65536,128,512,64,LINDEX,1280,688572.43,1.583,5.119,48.383,5518508,9.635025090999989,8,9.533,116.45681640625
redis,list,65536,128,512,64,LINDEX,1280,874089.21,1.207,4.607,11.071,7003173,9.587277269998594,8,12.204,147.83296875
valkey,list,65536,128,512,64,LINDEX,1280,865440.96,1.207,4.447,11.199,6942660,9.637101794996852,8,11.924,146.370283203125
lavik,list,65536,128,512,64,LINDEX,2560,598539.27,3.087,13.759,221.183,4822650,10.987730756001838,8,7.751,101.22931640625
redis,list,65536,128,512,64,LINDEX,2560,917998.65,2.463,6.623,24.959,7370199,9.938246611000068,8,13.616,155.259130859375
valkey,list,65536,128,512,64,LINDEX,2560,690796.72,3.535,6.047,33.535,5545991,9.936517064001237,8,10.018,116.8326953125
lavik,list,65536,128,512,64,LINDEX,5120,543309.89,2.623,43.007,897.023,4381496,10.687613297999633,8,9.001,91.888046875
redis,list,65536,128,512,64,LINDEX,5120,773476.22,6.175,18.431,57.855,6232543,11.5923708909977,8,11.329,130.815712890625
valkey,list,65536,128,512,64,LINDEX,5120,551251.7,8.959,32.383,59.903,4443764,11.541101758997684,8,8.1,93.23140625
lavik,list,65536,128,512,64,LRANGE,16,17379.82,0.855,3.311,4.575,139048,9.281224222002493,8,1.531,1155.019189453125
redis,list,65536,128,512,64,LRANGE,16,37025.44,0.431,0.567,0.831,296212,9.232630583999708,8,3.415,2460.61716796875
valkey,list,65536,128,512,64,LRANGE,16,25522.02,0.615,0.943,1.207,204183,8.278477775998908,8,2.387,1696.129130859375
lavik,list,65536,128,512,64,LRANGE,80,22372.64,1.279,24.959,33.279,179114,9.281380656997499,8,2.041,1486.82896484375
redis,list,65536,128,512,64,LRANGE,80,39240.09,2.023,2.447,4.047,313979,9.282788485998026,8,3.931,2607.797265625
valkey,list,65536,128,512,64,LRANGE,80,31139.92,2.559,2.959,3.903,249167,9.280544399000064,8,2.997,2069.480859375
lavik,list,65536,128,512,64,LSET,80,6411.33,0.191,98.815,103.423,51488,9.282679156000086,8,0.097,1.10267578125
redis,list,65536,128,512,64,LSET,80,436001.62,0.175,0.359,0.455,3488466,9.283661802997813,8,6.282,74.987802734375
valkey,list,65536,128,512,64,LSET,80,529158.15,0.143,0.311,0.527,4234414,9.282890271002543,8,7.432,91.009775390625
lavik,list,65536,128,512,64,LSET,320,6491.44,0.255,401.407,409.599,52854,9.330632520999643,8,0.135,1.116416015625
redis,list,65536,128,512,64,LSET,320,703419.96,0.439,0.975,1.399,5629579,9.334060211000178,8,9.552,120.9804296875
valkey,list,65536,128,512,64,LSET,320,769024.82,0.367,1.183,2.671,6156339,9.383707353001228,8,10.062,132.26369140625
lavik,list,65536,128,512,64,LSET,1280,6931.95,82.431,1023.999,1064.959,58056,10.632767707000312,8,0.32,1.1920703125
